sample,value
0,131072
1,131072
2,131072
3,131072
4,131072
5,131072
6,131072
7,131072
8,131072
9,131072
10,131072
11,131072
12,131072
13,131072
14,131071
15,131071
16,131071
17,131071
18,131071
19,131071
20,131071
21,131070
22,131070
23,131070
24,131069
25,131069
26,131069
27,131068
28,131068
29,131067
30,131066
31,131066
32,131065
33,131064
34,131063
35,131062
36,131061
37,131060
38,131058
39,131057
40,131055
41,131053
42,131051
43,131049
44,131047
45,131044
46,131042
47,131039
48,131035
49,131032
50,131028
51,131024
52,131020
53,131016
54,131011
55,131005
56,131000
57,130994
58,130987
59,130980
60,130973
61,130965
62,130956
63,130947
64,130938
65,130928
66,130917
67,130905
68,130893
69,130880
70,130866
71,130852
72,130837
73,130820
74,130803
75,130785
76,130765
77,130745
78,130724
79,130701
80,130677
81,130652
82,130626
83,130598
84,130569
85,130538
86,130505
87,130472
88,130436
89,130399
90,130359
91,130318
92,130275
93,130230
94,130183
95,130134
96,130082
97,130028
98,129972
99,129913
100,129851
101,129787
102,129720
103,129651
104,129578
105,129502
106,129423
107,129341
108,129256
109,129167
110,129075
111,128979
112,128879
113,128775
114,128667
115,128556
116,128440
117,128320
118,128195
119,128066
120,127932
121,127793
122,127650
123,127501
124,127347
125,127188
126,127024
127,126854
128,126678
129,126497
130,126309
131,126116
132,125916
133,125710
134,125498
135,125279
136,125053
137,124820
138,124580
139,124334
140,124079
141,123818
142,123549
143,123272
144,122987
145,122694
146,122393
147,122084
148,121767
149,121441
150,121106
151,120763
152,120410
153,120049
154,119678
155,119298
156,118909
157,118510
158,118101
159,117682
160,117254
161,116815
162,116367
163,115908
164,115438
165,114958
166,114468
167,113966
168,113454
169,112931
170,112397
171,111852
172,111296
173,110728
174,110149
175,109559
176,108957
177,108344
178,107719
179,107082
180,106434
181,105774
182,105102
183,104418
184,103722
185,103015
186,102295
187,101564
188,100820
189,100065
190,99297
191,98518
192,97727
193,96924
194,96109
195,95282
196,94443
197,93593
198,92731
199,91857
200,90971
201,90075
202,89166
203,88247
204,87316
205,86374
