sample,value
0,131072
1,131072
2,131072
3,131072
4,131072
5,131072
6,131072
7,131072
8,131072
9,131072
10,131072
11,131072
12,131072
13,131072
14,131072
15,131072
16,131072
17,131072
18,131072
19,131072
20,131072
21,131072
22,131072
23,131072
24,131072
25,131072
26,131072
27,131072
28,131072
29,131072
30,131072
31,131072
32,131072
33,131071
34,131071
35,131071
36,131071
37,131071
38,131071
39,131071
40,131071
41,131071
42,131071
43,131071
44,131071
45,131071
46,131071
47,131071
48,131071
49,131071
50,131071
51,131071
52,131071
53,131071
54,131071
55,131071
56,131071
57,131071
58,131071
59,131071
60,131071
61,131071
62,131071
63,131071
64,131071
65,131070
66,131070
67,131070
68,131070
69,131070
70,131070
71,131070
72,131070
73,131070
74,131070
75,131070
76,131069
77,131069
78,131069
79,131069
80,131069
81,131069
82,131068
83,131068
84,131068
85,131068
86,131067
87,131067
88,131067
89,131067
90,131066
91,131066
92,131066
93,131065
94,131065
95,131064
96,131064
97,131063
98,131063
99,131062
100,131062
101,131061
102,131060
103,131060
104,131059
105,131058
106,131057
107,131056
108,131055
109,131054
110,131053
111,131052
112,131051
113,131050
114,131049
115,131047
116,131046
117,131044
118,131043
119,131041
120,131039
121,131037
122,131035
123,131033
124,131031
125,131029
126,131027
127,131024
128,131022
129,131019
130,131016
131,131013
132,131010
133,131007
134,131004
135,131000
136,130996
137,130992
138,130988
139,130984
140,130980
141,130975
142,130970
143,130965
144,130960
145,130955
146,130949
147,130943
148,130937
149,130931
150,130924
151,130917
152,130910
153,130902
154,130894
155,130886
156,130878
157,130869
158,130860
159,130851
160,130841
161,130831
162,130820
163,130809
164,130798
165,130786
166,130774
167,130761
168,130748
169,130735
170,130721
171,130706
172,130691
173,130676
174,130660
175,130643
176,130626
177,130608
178,130590
179,130571
180,130551
181,130531
182,130510
183,130489
184,130466
185,130444
186,130420
187,130396
188,130371
189,130345
190,130318
191,130291
192,130262
193,130233
194,130203
195,130172
196,130141
197,130108
198,130074
199,130040
200,130004
201,129968
202,129930
203,129892
204,129852
205,129811
